Index;Option1;Option2;Option3;Option4;Option 5;Option6;;;;;Options
0;-0.08;0;0;0.242;1;0;;;;;Option1: Picked  weight - average weight der anderen 
1;-0.024;27851;2.6818;0.1694;-3.3818;0;;;;;Option2: accumulated regret. Also zu dem Zeitpunkt exp4
2;0.02;27851;2.6818;0.5721;0.3;1.8;;;;;Option3: Das was option 3 sein sollte jetzt wirklich
3;0.0665;27851;2.6818;1.1616;1.4723;1.8;;;;;Option4: sum_reward mit dieser formel    if self.sse.counts[i] != 0:  sum_reward += (self.sse.sum_reward[i]/ self.sse.counts[i]) * self.weights[i]
4;-0.1228;46469;5.4317;0.7333;-3.2157;1.8;;;;;Option5: diese formel self.sse.sum_reward[picked_model]/ self.sse.counts[picked_model],4
5;0.26;46469;5.4317;0.8244;1.7991;1.8;;;;;Für regret sum: enfach regret nehmen also picked - best auch wenn gleich ist
6;0.1152;68741;5.4317;0.9338;2.0362;3.6;;;;;Option6: Regret für ucb - mit neuer Formel
7;-0.065;68741;6.9382;0.8779;1.2306;3.6;;;;;Graphen ergeben nochh keinen sinn muss glaube irgendwo vergessen haben ne 0 zurückszusetzen
8;-0.2078;99437;6.9382;0.2061;1.43;3.6;;;;;
9;-0.2438;99437;8.2285;0.2026;0.9499;5.4;;;;;
10;0.5635;137468;8.255;0.0431;0.7713;5.4;;;;;4 glaube eigentlich valid 
11;0.586;145121;8.255;0.7638;0.8523;5.4;;;;;
12;0.6503;145121;8.255;0.8619;0.8769;7.2;;;;;
13;-0.09;145121;8.255;0.8516;0.8722;7.2;;;;;
14;0.79;145121;8.3818;0.7129;0.6443;7.2;;;;;
15;0.8655;165045;8.3818;0.5875;0.6108;7.2;;;;;
16;0.8813;165045;8.3818;0.6774;0.6225;7.2;;;;;
17;-0.1975;165045;8.3818;0.7491;0.7594;7.2;;;;;
18;0.97;171825;8.3818;0.7443;0.7697;7.2;;;;;
19;0.97;219825;8.3818;0.7394;0.7953;7.2;;;;;
20;0.9725;267825;9.4396;0.7207;0.69;7.2;;;;;
21;-0.25;315825;10.7617;0.7093;0.6151;7.2;;;;;
22;-0.25;315825;10.7617;0.7114;0.7909;7.2;;;;;
23;0.9863;315825;10.7617;0.753;0.8083;7.2;;;;;
24;0.9863;322468;10.7617;0.7913;0.8231;7.2;;;;;
25;0.9863;322468;10.7617;0.8418;0.7447;7.2;;;;;
26;0.9863;322468;10.7617;0.8725;0.8928;7.2;;;;;
27;0.9863;322468;12.5697;0.8834;0.6581;7.2;;;;;
28;0.9863;322468;12.5697;0.9041;0.9533;7.2;;;;;
29;0.995;322468;12.5697;0.9037;0.9562;7.2;;;;;
30;0.9975;322468;12.5697;0.8525;0.9028;7.2;;;;;
31;0.9975;328871;12.5697;0.8683;0.9082;7.2;;;;;
32;0.9975;328871;12.5697;0.8938;0.9174;7.2;;;;;
33;0.9988;335281;12.5697;0.9004;0.9213;7.2;;;;;
34;10000;335281;12.5697;0.9065;0.9249;7.2;;;;;
35;10000;335281;12.5697;0.9122;0.9282;7.2;;;;;
36;10000;335281;12.5697;0.9175;0.9311;7.2;;;;;
37;-0.25;335281;12.5697;0.9223;0.9339;7.2;;;;;
38;-0.25;335281;12.5697;0.9269;0.9364;7.2;;;;;
39;-0.25;335281;12.5697;0.9318;0.9388;7.2;;;;;
40;-0.25;335281;12.5697;0.9346;0.941;7.2;;;;;
41;10000;335281;12.5697;0.91;0.9141;7.2;;;;;
42;10000;335281;12.5697;0.9142;0.9169;7.2;;;;;
43;10000;395997;12.5697;0.9196;0.9196;7.2;;;;;
44;10000;395997;12.5697;0.8961;0.8961;7.2;;;;;
45;10000;395997;12.5697;0.8992;0.8992;7.2;;;;;
